loan_amnt,int_rate,installment,home_ownership,annual_inc,verification_status,pymnt_plan,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,collections_12_mths_ex_med,policy_code,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,hardship_flag,debt_settlement_flag,target
12000.0,0.20550000000000002,449.34,RENT,70000.0,Not Verified,n,28.56,0.0,1.0,9.0,1.0,18051.0,20.0,f,5938.06,5938.06,9422.44,9422.44,6061.94,3360.5,0.0,0.0,0.0,449.34,0.0,1.0,Individual,0.0,0.0,50387.0,1.0,3.0,1.0,3.0,3.0,32336.0,76.0,0.0,0.0,6725.0,73.0,26200.0,2.0,4.0,1.0,3.0,5599.0,8058.0,62.0,0.0,0.0,144.0,80.0,56.0,3.0,2.0,64.0,3.0,0.0,5.0,6.0,5.0,6.0,9.0,6.0,8.0,6.0,9.0,0.0,0.0,0.0,1.0,100.0,60.0,1.0,0.0,68828.0,50387.0,21200.0,42628.0,N,N,low_risk
36000.0,0.0819,733.23,MORTGAGE,200000.0,Source Verified,n,11.38,0.0,0.0,13.0,0.0,35928.0,24.0,w,25590.54,25590.54,14648.22,14648.22,10409.46,4238.76,0.0,0.0,0.0,733.23,0.0,1.0,Individual,0.0,0.0,308034.0,3.0,2.0,2.0,2.0,6.0,27989.0,58.0,3.0,4.0,9180.0,54.0,70800.0,1.0,1.0,1.0,6.0,23695.0,29417.0,54.1,0.0,0.0,184.0,217.0,4.0,4.0,3.0,4.0,12.0,0.0,6.0,9.0,7.0,10.0,6.0,10.0,15.0,9.0,13.0,0.0,0.0,0.0,5.0,100.0,28.6,0.0,0.0,380705.0,63917.0,64100.0,48417.0,N,N,low_risk
37225.0,0.1308,848.51,MORTGAGE,122700.0,Not Verified,n,16.83,0.0,0.0,11.0,0.0,32279.0,23.0,w,27390.05,27390.05,16943.15,16943.15,9834.95,7108.2,0.0,0.0,0.0,848.51,0.0,1.0,Joint App,0.0,0.0,68475.0,0.0,4.0,0.0,1.0,16.0,35595.0,64.0,0.0,2.0,19974.0,67.0,38100.0,0.0,0.0,2.0,3.0,6848.0,3675.0,89.4,0.0,0.0,106.0,312.0,19.0,16.0,3.0,22.0,0.0,0.0,4.0,5.0,5.0,9.0,7.0,6.0,12.0,5.0,11.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,101675.0,68475.0,34600.0,55477.0,N,N,low_risk
12000.0,0.11019999999999999,392.98,MORTGAGE,64500.0,Source Verified,n,36.63,0.0,2.0,15.0,0.0,24069.0,33.0,w,0.0,0.0,13476.42,13476.42,12000.0,1476.42,0.0,0.0,0.0,7589.07,0.0,1.0,Individual,0.0,0.0,176938.0,4.0,3.0,2.0,6.0,3.0,19320.0,46.0,2.0,4.0,9478.0,47.0,50500.0,2.0,0.0,3.0,10.0,11796.0,19578.0,53.4,0.0,0.0,179.0,141.0,6.0,3.0,1.0,6.0,3.0,0.0,7.0,9.0,7.0,11.0,12.0,11.0,20.0,9.0,15.0,0.0,0.0,0.0,4.0,100.0,14.3,0.0,0.0,234193.0,43389.0,42000.0,42279.0,N,N,low_risk
25000.0,0.17739999999999997,631.31,RENT,50000.0,Not Verified,n,33.82,0.0,0.0,12.0,0.0,22815.0,24.0,f,20882.94,20882.94,10707.63,10707.63,4117.06,6590.57,0.0,0.0,0.0,631.31,0.0,1.0,Individual,0.0,0.0,75919.0,1.0,2.0,1.0,2.0,9.0,53104.0,92.0,1.0,2.0,10953.0,39.0,83400.0,6.0,1.0,13.0,4.0,6327.0,60585.0,27.4,0.0,0.0,74.0,103.0,5.0,5.0,0.0,5.0,9.0,0.0,4.0,4.0,10.0,17.0,6.0,10.0,18.0,4.0,12.0,0.0,0.0,0.0,2.0,100.0,10.0,0.0,0.0,146810.0,75919.0,83400.0,63410.0,N,N,low_risk
20000.0,0.1308,455.89,MORTGAGE,105000.0,Verified,n,23.66,0.0,0.0,6.0,0.0,10881.0,21.0,w,14172.62,14172.62,9330.93,9330.93,5827.38,3503.55,0.0,0.0,0.0,500.0,0.0,1.0,Individual,0.0,0.0,62002.0,0.0,4.0,1.0,2.0,9.0,51121.0,64.0,0.0,0.0,6213.0,57.0,27500.0,1.0,3.0,2.0,2.0,10334.0,15787.0,28.2,0.0,0.0,166.0,256.0,46.0,9.0,1.0,53.0,6.0,0.0,1.0,2.0,1.0,8.0,8.0,2.0,12.0,2.0,6.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,107984.0,62002.0,22000.0,80484.0,N,N,low_risk
3600.0,0.08810000000000001,114.17,RENT,36000.0,Source Verified,n,26.3,0.0,2.0,13.0,0.0,3386.0,17.0,w,0.0,0.0,3892.82,3892.82,3600.0,292.82,0.0,0.0,0.0,1774.54,0.0,1.0,Individual,0.0,0.0,17597.0,1.0,2.0,1.0,1.0,12.0,14211.0,40.0,1.0,5.0,3165.0,25.0,35900.0,2.0,1.0,4.0,6.0,1354.0,19605.0,14.4,0.0,0.0,71.0,79.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,4.0,5.0,5.0,3.0,11.0,14.0,4.0,13.0,0.0,0.0,0.0,2.0,94.1,20.0,0.0,0.0,71757.0,17597.0,22900.0,35857.0,N,N,low_risk
16000.0,0.17739999999999997,576.36,RENT,65000.0,Not Verified,n,39.14,0.0,0.0,6.0,0.0,16132.0,8.0,w,2386.16,2386.16,16842.94,16842.94,13613.84,3229.1,0.0,0.0,0.0,576.36,0.0,1.0,Individual,0.0,0.0,79873.0,2.0,3.0,1.0,2.0,5.0,63741.0,58.0,0.0,0.0,12572.0,68.0,16600.0,1.0,2.0,0.0,3.0,13312.0,468.0,97.2,0.0,0.0,34.0,49.0,29.0,3.0,0.0,29.0,23.0,0.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,6.0,0.0,0.0,0.0,2.0,100.0,100.0,0.0,0.0,110367.0,79873.0,16600.0,92367.0,N,N,low_risk
12000.0,0.0819,377.09,OWN,90000.0,Source Verified,n,29.07,0.0,2.0,11.0,0.0,5411.0,31.0,w,5359.07,5359.07,7913.43,7913.43,6640.93,1272.5,0.0,0.0,0.0,377.09,0.0,1.0,Individual,0.0,0.0,84663.0,1.0,4.0,2.0,3.0,6.0,79252.0,68.0,0.0,0.0,4941.0,56.0,20100.0,1.0,4.0,7.0,3.0,7697.0,13189.0,29.1,0.0,0.0,113.0,165.0,28.0,6.0,2.0,28.0,6.0,0.0,3.0,3.0,5.0,9.0,15.0,7.0,13.0,3.0,11.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,117185.0,84663.0,18600.0,97085.0,N,N,low_risk
22600.0,0.124,507.31,RENT,250000.0,Not Verified,n,14.55,0.0,2.0,16.0,0.0,13493.0,29.0,w,16884.94,16884.94,9623.32,9623.32,5715.06,3908.26,0.0,0.0,0.0,507.31,0.0,1.0,Individual,0.0,0.0,99814.0,1.0,4.0,4.0,7.0,5.0,86321.0,66.0,0.0,0.0,8466.0,39.0,73300.0,3.0,1.0,3.0,8.0,7130.0,43420.0,16.7,0.0,0.0,78.0,89.0,33.0,5.0,0.0,62.0,1.0,0.0,3.0,5.0,5.0,6.0,12.0,10.0,14.0,5.0,16.0,0.0,0.0,0.0,5.0,100.0,0.0,0.0,0.0,186971.0,99814.0,52100.0,110938.0,N,N,low_risk
